"WT1","WT2","WT3","NEG1","NEG2","NEG3","pos","Potential.contaminant","Reverse","ids"
0,0,561220,814950,0,0,FALSE,"","","P0148597"
0,2591100,1519700,35467000,11850000,20033000,FALSE,"","","P8310429"
2112800,0,0,2371500,0,0,FALSE,"","","P1345689"
4110900,12638000,21468000,13489000,14794000,11381000,FALSE,"","","P8013624"
0,5520300,2816300,12894000,0,6489500,FALSE,"","","P5034182"
17498000,20255000,24117000,0,0,0,FALSE,"","","P9143586"
0,0,0,0,0,4336400,FALSE,"","","P5973610"
1010400,684320,0,0,0,0,FALSE,"","","P3951067"
0,0,1545400,0,0,3130700,FALSE,"+","","P2981643"
0,0,0,0,0,28365000,FALSE,"+","","P2504869"
0,0,0,0,0,2074800,FALSE,"+","","P7258049"
6.6598e+10,1.7826e+10,1.9192e+10,4.8359e+10,2.138e+10,2.2062e+10,FALSE,"+","","P7518302"
354460000,170200000,278130000,418640000,366090000,1.2135e+10,FALSE,"+","","P3896210"
215870000,121430000,182670000,468420000,294190000,1.5765e+10,FALSE,"+","","P0374652"
62805000,25894000,62054000,82328000,21068000,2165900000,FALSE,"+","","P5097463"
11370000,22038000,3042300,31294000,4564700,699290000,FALSE,"+","","P5241786"
59365000,14947000,13759000,87897000,11689000,1231100000,FALSE,"+","","P7521493"
14577000,11132000,0,5131500,12986000,276660000,FALSE,"+","","P5847629"
0,4227600,3262800,0,0,0,FALSE,"+","","P8023647"
16346000,5091400,11878000,29982000,8350100,496040000,FALSE,"+","","P5074328"
18599000,14929000,15645000,9801700,16773000,21835000,FALSE,"+","","P3297804"
2284500000,328090000,213670000,388440000,265310000,480510000,FALSE,"+","","P4857012"
8446700,0,5719800,3590200,15807000,2341200000,FALSE,"+","","P8604273"
24370000,24051000,16226000,46416000,13866000,14638000,FALSE,"+","","P3756081"
12697000,399050000,0,0,479160000,29313000,FALSE,"+","","P5716894"
0,0,0,0,2963000,0,FALSE,"+","","P3854197"
9081100,16067000,97067000,18074000,55788000,1.238e+10,FALSE,"+","","P9142865"
13982000,2251200,682030,6381600,1278700,1166400,FALSE,"+","","P8314576"
8325700000,1750500000,1.802e+09,8361300000,3498700000,4770700000,FALSE,"+","","P5812963"
0,0,0,4755000,3022300,27700000,FALSE,"+","","P1302947"
166660000,70061000,123020000,279580000,232200000,1729300000,FALSE,"+","","P2307491"
0,0,0,0,0,3330000,FALSE,"+","","P4901573"
5718500,0,0,2272300,0,33506000,FALSE,"+","","P7409126"
4197000,0,0,8834600,0,0,FALSE,"+","","P9012735"
24962000,16360000,7001100,23214000,52580000,25039000,FALSE,"+","","P4896023"
2939900000,1.086e+09,774490000,2758400000,1790300000,3421200000,FALSE,"+","","P0394156"
566180000,66677000,81544000,497320000,45580000,68735000,FALSE,"+","","P7801296"
40474000,15160000,21150000,76996000,25798000,2678200000,FALSE,"+","","P2301865"
112210000,25305000,31189000,193960000,8994800,84834000,FALSE,"+","","P9741236"
923080,1747700,0,3658400,1989100,0,FALSE,"+","","P7625419"
6025600,0,0,11709000,2117000,0,FALSE,"+","","P3802714"
0,0,0,2900700,0,0,FALSE,"+","","P3972450"
0,5043900,1896900,15312000,2829700,44796000,FALSE,"+","","P5904781"
0,0,2463300,5422200,3384400,0,FALSE,"+","","P5382461"
0,0,0,0,17534000,2775900,FALSE,"+","","P8029457"
0,0,0,0,0,13965000,FALSE,"+","","P0391274"
28781000,3335100,1319000,14407000,8332900,3067700,FALSE,"+","","P3052769"
13176000,760860,0,13879000,5430700,7769600,FALSE,"+","","P0972613"
0,0,0,0,0,1087000,FALSE,"+","","P3926801"
3680000,7630200,4975400,3152400,0,0,FALSE,"+","","P1065972"
2.9369e+11,1.8097e+11,7.6089e+10,3.2108e+11,1.8568e+11,7.3973e+10,FALSE,"+","","P1503462"
1204500,0,0,0,0,0,FALSE,"","","P1349208"
39756000,20276000,36019000,47021000,27779000,25145000,FALSE,"","","P9021578"
0,612300,0,1324600,0,0,FALSE,"","","P5907281"
1749200,921130,0,3059100,988010,0,FALSE,"","","P3951842"
0,6777300,1850300,0,947510,1498100,FALSE,"","","P8197406"
0,3090400,0,0,0,0,FALSE,"","","P0817524"
831140,1603900,611580,2487600,1160700,1078700,FALSE,"","","P3096871"
146510000,0,0,0,0,0,FALSE,"","","P2037568"
4804200,450560,0,0,0,0,FALSE,"","","P8072513"
17976000,26747000,17763000,32621000,19552000,14105000,FALSE,"","","P7192405"
48621000,51265000,93870000,43149000,61342000,83495000,FALSE,"","","P9028576"
0,2673300,5573300,1958100,0,8082500,FALSE,"","","P7468591"
106530000,84503000,85600000,199540000,92204000,83459000,FALSE,"","","P6805123"
486820000,605360000,652790000,1292600000,554720000,612720000,FALSE,"","","P9031826"
0,869180,1202800,0,0,0,FALSE,"","","P5873692"
0,1926000,0,0,924450,0,FALSE,"","","P5736928"
0,0,0,1854600,0,0,FALSE,"","","P6904512"
2213900,0,0,0,0,0,FALSE,"","","P5214379"
870950,0,0,9284000,856230,655480,FALSE,"","","P0921854"
0,18304000,0,0,0,45619000,FALSE,"","","P8935061"
1299100,0,0,1069900,0,0,FALSE,"","","P2498016"
0,0,0,0,0,4344000,FALSE,"","","P9127803"
0,859610,0,2240500,1801900,502810,FALSE,"","","P0832745"
0,0,845080,0,0,0,FALSE,"","","P5248160"
4181600,4735500,7153400,0,0,0,FALSE,"","","P7250491"
2399800,1183800,1252900,2419400,1551400,0,FALSE,"","","P6758903"
0,70303000,27181000,0,0,0,TRUE,"","","P1296703"
1236000,5993700,15710000,28235000,15297000,15732000,FALSE,"","","P9257061"
2524100,0,0,3565200,0,0,FALSE,"","","P1348752"
0,0,0,0,0,40170000,FALSE,"","","P7389450"
33769000,3882700,1372300,36705000,4383700,3072200,FALSE,"","","P7394265"
0,839430,0,0,0,0,FALSE,"","","P5281340"
892700,937680,1421500,3264700,0,0,FALSE,"","","P6798024"
1451600,0,0,0,0,0,FALSE,"","","P3845197"
46575000,32792000,35073000,86021000,42318000,33006000,FALSE,"","","P6951824"
1367200,7832500,7247500,10357000,4887800,6165100,FALSE,"","","P2914605"
0,512240,0,0,548820,0,FALSE,"","","P1230695"
1342700,0,0,0,0,852260,FALSE,"","","P3724681"
117580000,111140000,199370000,1196900,893560,0,FALSE,"","","P8706942"
1889300,651180,391320,1510400,489320,0,FALSE,"","","P6708324"
0,833350,0,3336800,0,0,FALSE,"","","P4075932"
0,801910,0,0,0,0,FALSE,"","","P9357162"
55032000,29014000,14415000,40979000,25067000,8173900,FALSE,"","","P3051796"
0,2966200,6187000,2170100,3372100,6514200,FALSE,"","","P4972653"
932650,3518900,4068900,7577400,676780,5417700,FALSE,"","","P1850273"
776000,2333000,0,6578400,2554100,3495700,FALSE,"","","P5462109"
4462700,0,0,4069400,0,687150,FALSE,"","","P2719603"
0,0,0,0,0,910620,FALSE,"","","P7096283"
1649100,0,0,0,0,0,FALSE,"","","P9162538"
1040400,5763600,4470200,22840000,7403400,9930300,FALSE,"","","P7258143"
4382500,8260500,11525000,18838000,5123000,4425100,FALSE,"","","P2735410"
1912700,506930,1875600,13507000,0,0,FALSE,"","","P4786135"
2837000,26768000,0,0,0,0,FALSE,"","","P2398760"
2926600,569280,1166300,11488000,1854400,3777100,FALSE,"","","P8175902"
3678700,0,1792300,0,0,0,TRUE,"","","P4605937"
0,0,0,0,529220,0,FALSE,"","","P6501938"
758670,666000,0,1237800,0,0,FALSE,"","","P1029756"
0,0,354250,0,0,0,FALSE,"","","P2193540"
0,544260,1383300,1584400,511520,0,FALSE,"","","P3498206"
0,11528000,0,0,0,0,FALSE,"","","P2471968"
0,900160,0,6480300,0,0,FALSE,"","","P2854796"
0,0,0,4177100,0,0,FALSE,"","","P6402178"
10369000,8344100,3148100,3940900,0,1421300,FALSE,"","","P0231485"
0,0,0,1272000,0,0,FALSE,"","","P7928435"
0,0,0,0,0,247610,FALSE,"","","P2831765"
0,1391500,0,0,0,0,FALSE,"","","P6589032"
44801000,1221500,1546700,14461000,963980,17434000,FALSE,"","","P6109584"
0,0,0,0,0,8140200,FALSE,"","","P0536192"
21108000,5337000,2380700,6225900,2955700,1087000,FALSE,"","","P9704128"
0,1842800,0,0,1264900,0,FALSE,"","","P7824106"
0,918970,3245300,4492000,2736800,19894000,FALSE,"","","P4802761"
0,0,0,0,0,2789200,FALSE,"","","P2473106"
0,0,0,0,0,5133600,FALSE,"","","P0531986"
4383300,2898800,2453800,5869800,2414100,12956000,FALSE,"","","P3851940"
0,40809000,11630000,0,3960200,2330800,FALSE,"","","P0718432"
1457700,0,0,962190,0,0,FALSE,"","","P4273190"
3155500,0,0,4703800,0,2370100,FALSE,"","","P3109825"
0,0,0,0,0,53343000,FALSE,"","","P2815670"
0,0,0,0,0,2231400,FALSE,"","","P0523197"
0,0,0,0,2247200,4996700,FALSE,"","","P7028563"
0,2325200,0,0,0,0,FALSE,"","","P1937548"
34472000,4350300,0,0,3593600,10956000,FALSE,"","","P1798364"
0,0,1140600,0,1790600,0,FALSE,"","","P1842569"
69607000,5203700,24950000,14929000,4161200,60759000,FALSE,"","","P7529460"
537790,1015800,0,0,0,0,FALSE,"","","P8924730"
0,0,0,0,0,448140000,FALSE,"","","P8925601"
1.5818e+10,4777700000,5.428e+09,1.4638e+10,1.0307e+10,1.8561e+10,FALSE,"+","","P4658327"
0,0,0,133780000,0,0,FALSE,"","","P8523014"
23985000,32494000,25416000,19144000,54783000,95366000,FALSE,"","","P9073412"
5945200,4226100,1264500,18640000,11945000,164190000,FALSE,"","","P6047812"
137650000,16100000,26665000,87456000,21362000,27272000,FALSE,"","","P9571806"
77004000,0,0,74607000,0,0,FALSE,"","","P3547802"
0,0,0,0,2267000,3486100,FALSE,"","","P0386957"
0,0,0,2995800,711920,959900,FALSE,"","","P4576312"
5369400,7759200,8847400,74513000,16053000,14350000,FALSE,"","","P4639185"
0,0,0,2376000,0,0,FALSE,"","","P3152687"
2851300000,1756500000,1690800000,3252700000,1526100000,1599900000,FALSE,"","","P9562480"
